name,latitude,longitude,type
GS25 동탄세림점,37.2061083,127.0738592,편의점
GS25 병점중앙로점,37.2108849,127.0371248,편의점
CU 동탄광장점,37.2011366,127.0725539,편의점
GS25,37.2097481,127.0966657,편의점
편의점사랑 인계점,37.2641578,127.0359667,편의점
GS25 동탄솔빛로점,37.1945664,127.0742891,편의점
GS25 동탄미래도점,37.2013847,127.0580492,편의점
CU Hwaseong gwangrim Branch,37.2156741,127.039602,편의점
CU 화성그루터기3호점,37.2073859,127.0735814,편의점
GS25,37.2562352,127.0407409,convenience_store
Prumier Market,37.2089181,126.9848081,convenience_store
7-Eleven,37.2800384,127.0505088,convenience_store
7-Eleven,37.2854582,127.010103,convenience_store
GTS,37.2366223,127.0622216,convenience_store
Global Food Mart (SAI TRADING),37.2681213,127.0006013,grocery_or_supermarket
Prumier Market,37.2089181,126.9848081,grocery_or_supermarket
Food zone,37.2730215,127.0445406,grocery_or_supermarket
ORGA Whole Foods,37.20443059999999,127.0690053,grocery_or_supermarket
Khmer Food Village,37.26617299999999,127.002294,food
Burger Run,37.2020133,127.0899292,food
Thakali Bhancha Nepalese Restaurant,37.2680605,127.0008326,food
다문화푸드랜드,37.2660118,127.0024533,food
