name,latitude,longitude,type
Osan 119 Fire Station,37.1752568,127.0538116,소방서
화성소방서동탄119안전센터,37.2051452,127.0720439,소방서
반송119안전센터,37.205414,127.0721813,소방서
태안119안전센터,37.2111348,127.0389736,소방서
권선119안전센터,37.2599064,127.0246958,소방서
지만119안전센터,37.2842924,127.0286392,안전센터
이의119안전센터,37.2887699,127.0561802,안전센터
원천119안전센터,37.2730769,127.0542019,안전센터
화성소방서동탄119안전센터,37.2051452,127.0720439,안전센터
반송119안전센터,37.205414,127.0721813,안전센터
태안119안전센터,37.2111348,127.0389736,안전센터
한국소방ENG 소방스프링클러 소방화재감지기설치 소방시설,37.2040251,127.066971,fire_station
Osan 119 Fire Station,37.1752568,127.0538116,fire_department
Sobang-In,37.2178809,126.9857306,fire_department
"미리소방 - 스프링클러,화재감지기",37.1815795,127.0894437,fire_department
한국소방ENG 소방스프링클러 소방화재감지기설치 소방시설,37.2040251,127.066971,fire_department
한국소방ENG 소방스프링클러 소방화재감지기설치 소방시설,37.26748449999999,127.0618639,fire_department
겅기소방특장차,37.2050645,127.0422163,fire_department
