name,latitude,longitude,type
s서울병원,37.2744419,127.0419661,병원
Samsung Bon Hospital,37.1911181,127.0615388,병원
매듭병원,37.2388762,127.0535358,병원
Zion Women's Hospital,37.2526511,127.076582,병원
Best Children’s Hospital,37.2051813,127.072378,병원
이춘택병원,37.2720055,127.0155911,병원
동탄제일병원,37.2166668,127.07847,병원
Ajou University Hospital Annex,37.2800775,127.0482628,hospital
Hallym University Dongtan Sacred Heart Hospital,37.2165827,127.0798736,hospital
Dongsuwon Hospital,37.2780824,127.0343576,hospital
Zion Women's Hospital,37.2526511,127.076582,hospital
"The Catholic University of Korea, St. Vincent`s Hospital",37.2776106,127.0274189,hospital
Ajou University Medical Center,37.2800775,127.0482628,hospital
Wiltse Memorial Hospital,37.2651153,127.0254773,hospital
동탄제일병원,37.2166668,127.07847,hospital
화성삼성의원,37.2046793,127.01372,doctor
동탄NK의원,37.210943,127.0902793,doctor
Mediwell Clinic - ENT,37.2589461,127.043875,doctor
닥터준클리닉,37.1944708,127.0748872,doctor
동탄라온여성의원,37.1996675,127.0721683,doctor
새수원탑의원,37.2688766,126.9744782,doctor
서울굿닥터의원,37.2657222,127.0729944,doctor
리베리의원 화성병점,37.2058633,127.0319252,doctor
빌라드스킨 피부과의원,37.2021595,127.0975642,doctor
동탄역 아주시원한 이비인후과,37.1971017,127.0985715,doctor
수원아이편한병원,37.2598637,127.0316086,clinic
GoodWill Dental Clinic,37.2504836,127.0642659,clinic
자이향뷰티&스쿨,37.2605069,127.0317413,clinic
Mediwell Clinic - ENT,37.2589461,127.043875,clinic
Yale Dermatology Clinic,37.253796,127.0742274,clinic
Barun St. Mary's Orthopedic clinic,37.25208569999999,127.0711397,clinic
Ajou University Health Clinic,37.2830095,127.0458651,health
동탄역 아주시원한 이비인후과,37.1971017,127.0985715,health
키네스수원점,37.2591843,127.0436552,health
팔달구 보건소,37.271503,127.0124207,health
동탄보건소,37.2069694,127.0783865,health
온쉼표정신건강의학과의원,37.2462747,127.0594814,health
