name,latitude,longitude,type
영통지구대,37.2548341,127.0779371,지구대
인계지구대,37.2757473,127.0312773,지구대
세류지구대,37.2427139,127.015225,지구대
수원중부경찰서 서호지구대,37.2807363,126.9714226,지구대
매산지구대,37.2643221,127.0015868,지구대
수원남부경찰서,37.2721244,127.0540698,경찰서
수원서부경찰서,37.2585488,126.9726801,경찰서
Hwaseong Dongtan Police Station,37.1857556,127.0940548,경찰서
흥덕파출소,37.2783209,127.0744975,파출소
봉담파출소,37.2166603,126.9706555,파출소
행궁파출소,37.2830747,127.0214804,파출소
영통지구대,37.2548341,127.0779371,파출소
Hwaseong Dongtan Police Station,37.1857556,127.0940548,police
수원남부경찰서,37.2721244,127.0540698,police
수원서부경찰서,37.2585488,126.9726801,police
화성동탄경찰서,37.1857572,127.0939517,police
